"","mean","sd","2.5%","97.5%","n_eff","Rhat4"
"psi[57]",0.201206131576,0.155615776516023,-0.0958430375,0.503850825,4074.07826907009,0.999525809476484
"psi[58]",0.201206131576,0.155615776516023,-0.0958430375,0.503850825,4074.07826907009,0.999525809476484
"psi[59]",0.200503525845333,0.155072375727401,-0.0955083674999999,0.50209085,4074.0785040556,0.999525810356105
"psi[60]",0.200503525845333,0.155072375727401,-0.0955083674999999,0.50209085,4074.0785040556,0.999525810356105
"psi[61]",0.200152610694667,0.154800960814506,-0.095341135,0.50121185,4074.07725750679,0.999525807797302
"psi[62]",0.202614409207333,0.156704948265781,-0.0965137774999999,0.507376875,4074.07849522294,0.999525809669539
"psi[63]",0.200503525845333,0.155072375727401,-0.0955083674999999,0.50209085,4074.0785040556,0.999525810356105
"psi[64]",0.199451533364667,0.154258744444587,-0.0950071674999999,0.499456825,4074.07825882573,0.999525808686731
"psi[65]",0.222772932155667,0.172295853295083,-0.10611575,0.55785715,4074.07722964446,0.999525807488682
"psi[66]",0.223508639841667,0.17286486053917,-0.1064668,0.559699175,4074.07874582551,0.999525809438516
"psi[67]",0.222405507060667,0.172011682149388,-0.105940725,0.55693715,4074.07817447385,0.99952580883219
"psi[68]",0.222772932155667,0.172295853295083,-0.10611575,0.55785715,4074.07722964446,0.999525807488682
"psi[69]",0.223140650661,0.172580247166623,-0.106291775,0.55877815,4074.07822181846,0.999525808121426
"psi[70]",0.227204024939667,0.175722927226134,-0.108227175,0.5689532,4074.0780274468,0.999525809058317
"psi[71]",0.226833226279,0.175436148516758,-0.10805015,0.568024225,4074.07849623454,0.999525810731355
"psi[72]",0.228318172684,0.176584627834573,-0.1087573,0.571743225,4074.0777735417,0.999525810462715
"psi[73]",0.226092451320667,0.174863223887418,-0.107697075,0.5661692,4074.07873660645,0.999525810213844
"psi[74]",0.224983415932333,0.174005468049855,-0.107168975,0.563392175,4074.07834881218,0.999525808739885
"psi[75]",0.225722496793667,0.174577093522866,-0.107521025,0.5652432,4074.07858754677,0.999525808998186
"psi[76]",0.224614295567,0.173719995286603,-0.106992925,0.562468175,4074.07771026544,0.99952580921024
"psi[77]",0.223508639841667,0.17286486053917,-0.1064668,0.559699175,4074.07874582551,0.999525809438516
"psi[78]",-0.503501497616,0.389415433092262,-1.260847,0.23983915,4074.07831295666,0.999525808907494
"psi[79]",-0.503829374412,0.389669062312215,-1.261667,0.239995175,4074.08126140731,0.99952580615364
"psi[80]",-0.503583453161,0.389478796958847,-1.26104725,0.23987815,4074.07799605316,0.999525808579202
"psi[81]",-0.503747390493667,0.389605611472688,-1.26145725,0.239956175,4074.07553422178,0.999525810342635
"psi[82]",-0.503747390493667,0.389605611472688,-1.26145725,0.239956175,4074.07553422178,0.999525810342635
"psi[83]",-0.503747390493667,0.389605611472688,-1.26145725,0.239956175,4074.07553422178,0.999525810342635
"psi[84]",-0.503747390493667,0.389605611472688,-1.26145725,0.239956175,4074.07553422178,0.999525810342635
"psi[85]",-0.600779220086,0.464651419140618,-1.5044385,0.286176625,4074.07843241595,0.999525810468739
"psi[86]",-0.504484448076667,0.390175677682461,-1.263307,0.24030725,4074.07609862063,0.999525811794417
"psi[87]",-0.504484448076667,0.390175677682461,-1.263307,0.24030725,4074.07609862063,0.999525811794417
"psi[88]",-0.504484448076667,0.390175677682461,-1.263307,0.24030725,4074.07609862063,0.999525811794417
"psi[89]",-0.504484448076667,0.390175677682461,-1.263307,0.24030725,4074.07609862063,0.999525811794417
"psi[90]",-0.504484448076667,0.390175677682461,-1.263307,0.24030725,4074.07609862063,0.999525811794417
"psi[91]",0.182246637251333,0.140952223235596,-0.0868117875,0.4563726,4074.07970091426,0.999525809454269
"psi[92]",0.183600758042667,0.141999518976652,-0.08745682,0.4597636,4074.07768062637,0.999525807935853
"psi[93]",0.183600758042667,0.141999518976652,-0.08745682,0.4597636,4074.07768062637,0.999525807935853
"psi[94]",0.184279227923,0.142524254502193,-0.0877799875,0.461462625,4074.07831489142,0.999525809208344
"psi[95]",0.182584815247,0.141213773881011,-0.08697292,0.4572196,4074.07821364175,0.99952580979382
"psi[96]",0.182584815247,0.141213773881011,-0.08697292,0.4572196,4074.07821364175,0.99952580979382
"psi[97]",0.183261877145667,0.141737423538093,-0.0872953875,0.458915575,4074.07851855347,0.999525808781358
"psi[98]",0.182584815247,0.141213773881011,-0.08697292,0.4572196,4074.07821364175,0.99952580979382
"psi[99]",0.182923215991667,0.14147549529235,-0.087134055,0.458067575,4074.078566747,0.999525809318297
"psi[100]",0.182246637251333,0.140952223235596,-0.0868117875,0.4563726,4074.07970091426,0.999525809454269
"psi[101]",0.181908699505667,0.140690864006979,-0.086650855,0.455526575,4074.07839060982,0.999525809674565
"psi[102]",0.181908699505667,0.140690864006979,-0.086650855,0.455526575,4074.07839060982,0.999525809674565
"psi[103]",-0.609486345272667,0.471385698553048,-1.5262485,0.290324475,4074.07700240837,0.999525806914899
"psi[104]",-0.0851706736977667,0.0658722512983138,-0.2132802,0.0405704125,4074.07940621701,0.999525810875476
"psi[105]",-0.0851706736977667,0.0658722512983138,-0.2132802,0.0405704125,4074.07940621701,0.999525810875476
"psi[106]",-0.0851706736977667,0.0658722512983138,-0.2132802,0.0405704125,4074.07940621701,0.999525810875476
"psi[107]",-0.0851706736977667,0.0658722512983138,-0.2132802,0.0405704125,4074.07940621701,0.999525810875476
"psi[108]",-0.0841968320318,0.065119066487561,-0.2108412,0.0401065175,4074.08008785969,0.999525809300081
"psi[109]",-0.0830256370048333,0.0642132426593193,-0.20790915,0.039548605,4074.07775591139,0.999525806980778
"psi[110]",-0.0838067498284,0.0648173682881855,-0.209865175,0.03992068,4074.07950322693,0.999525808973958
"psi[111]",-0.0838067498284,0.0648173682881855,-0.209865175,0.03992068,4074.07950322693,0.999525808973958
"psi[112]",-0.0847813697052,0.0655711542491367,-0.2123052,0.040384975,4074.08062126263,0.99952581364929
"psi[113]",-0.0843917587200333,0.0652698233438045,-0.2113292,0.0401993375,4074.0790836556,0.999525807920258
"psi[114]",-0.0845866071686,0.0654205205091721,-0.2118172,0.0402921575,4074.07930755025,0.999525809624902
"psi[115]",-0.0843917587200333,0.0652698233438045,-0.2113292,0.0401993375,4074.0790836556,0.999525807920258
"psi[116]",-0.0873062533161667,0.0675239375082034,-0.218628225,0.0415876225,4074.07881565296,0.999525811342593
